operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
CreateWebACLMigrationStack,/#X-Amz-Target=AWSWAF_20150824.CreateWebACLMigrationStack,POST,,,,"IgnoreUnsupportedType,S3BucketName,WebACLId",Creates an AWS CloudFormation WAFV2 template fo...,web_acl_migration_stacks,create_web_acl_migration_stack,insert,,,,,
ListWebACLs,/#X-Amz-Target=AWSWAF_20150824.ListWebACLs,POST,,,,,This is **AWS WAF Classic** documentation. For ...,web_acls,list_web_ac_ls,select,,,,,
CreateWebACL,/#X-Amz-Target=AWSWAF_20150824.CreateWebACL,POST,,,,"ChangeToken,DefaultAction,MetricName,Name",This is **AWS WAF Classic** documentation. For ...,web_acls,create_web_acl,insert,,,,,
DeleteWebACL,/#X-Amz-Target=AWSWAF_20150824.DeleteWebACL,POST,,,,"ChangeToken,WebACLId",This is **AWS WAF Classic** documentation. For ...,web_acls,delete_web_acl,delete,,,,,
GetWebACL,/#X-Amz-Target=AWSWAF_20150824.GetWebACL,POST,,,,WebACLId,This is **AWS WAF Classic** documentation. For ...,web_acls,get_web_acl,select,,,,,
UpdateWebACL,/#X-Amz-Target=AWSWAF_20150824.UpdateWebACL,POST,,,,"ChangeToken,WebACLId",This is **AWS WAF Classic** documentation. For ...,web_acls,update_web_acl,update,,,,,
ListXssMatchSets,/#X-Amz-Target=AWSWAF_20150824.ListXssMatchSets,POST,,,,,This is **AWS WAF Classic** documentation. For ...,xss_match_sets,list_xss_match_sets,select,,,,,
CreateXssMatchSet,/#X-Amz-Target=AWSWAF_20150824.CreateXssMatchSet,POST,,,,"ChangeToken,Name",This is **AWS WAF Classic** documentation. For ...,xss_match_sets,create_xss_match_set,insert,,,,,
DeleteXssMatchSet,/#X-Amz-Target=AWSWAF_20150824.DeleteXssMatchSet,POST,,,,"ChangeToken,XssMatchSetId",This is **AWS WAF Classic** documentation. For ...,xss_match_sets,delete_xss_match_set,delete,,,,,
GetXssMatchSet,/#X-Amz-Target=AWSWAF_20150824.GetXssMatchSet,POST,,,,XssMatchSetId,This is **AWS WAF Classic** documentation. For ...,xss_match_sets,get_xss_match_set,select,,,,,
UpdateXssMatchSet,/#X-Amz-Target=AWSWAF_20150824.UpdateXssMatchSet,POST,,,,"ChangeToken,Updates,XssMatchSetId",This is **AWS WAF Classic** documentation. For ...,xss_match_sets,update_xss_match_set,update,,,,,
