operationId,path,verb,requiredPathParams,requiredHeaderParams,requiredQueryParams,requiredReqBodyParams,description,resource,method,sqlVerb,objectKey,reqPaginationKey,reqPaginationLocation,respPaginationKey,respPaginationLocation
UpdateContainerGroupDefinition,/#X-Amz-Target=GameLift.UpdateContainerGroupDefinition,POST,,,,Name,**This API works with the following fleet types...,container_group_definitions,update_container_group_definition,update,,,,,
UpdateFleetAttributes,/#X-Amz-Target=GameLift.UpdateFleetAttributes,POST,,,,FleetId,**This API works with the following fleet types...,fleets,update_fleet_attributes,update,,,,,
UpdateFleetCapacity,/#X-Amz-Target=GameLift.UpdateFleetCapacity,POST,,,,FleetId,**This API works with the following fleet types...,fleets,update_fleet_capacity,update,,,,,
UpdateFleetPortSettings,/#X-Amz-Target=GameLift.UpdateFleetPortSettings,POST,,,,FleetId,**This API works with the following fleet types...,fleets,update_fleet_port_settings,exec,,,,,
UpdateGameServer,/#X-Amz-Target=GameLift.UpdateGameServer,POST,,,,"GameServerGroupName,GameServerId",**This API works with the following fleet types...,game_servers,update_game_server,update,,,,,
UpdateGameServerGroup,/#X-Amz-Target=GameLift.UpdateGameServerGroup,POST,,,,GameServerGroupName,**This API works with the following fleet types...,game_server_groups,update_game_server_group,update,,,,,
UpdateGameSession,/#X-Amz-Target=GameLift.UpdateGameSession,POST,,,,GameSessionId,**This API works with the following fleet types...,game_sessions,update_game_session,update,,,,,
UpdateGameSessionQueue,/#X-Amz-Target=GameLift.UpdateGameSessionQueue,POST,,,,Name,**This API works with the following fleet types...,game_session_queues,update_game_session_queue,update,,,,,
UpdateMatchmakingConfiguration,/#X-Amz-Target=GameLift.UpdateMatchmakingConfiguration,POST,,,,Name,**This API works with the following fleet types...,matchmaking_configurations,update_matchmaking_configuration,update,,,,,
UpdateRuntimeConfiguration,/#X-Amz-Target=GameLift.UpdateRuntimeConfiguration,POST,,,,"FleetId,RuntimeConfiguration",**This API works with the following fleet types...,runtime_configurations,update_runtime_configuration,update,,,,,
UpdateScript,/#X-Amz-Target=GameLift.UpdateScript,POST,,,,ScriptId,**This API works with the following fleet types...,scripts,update_script,update,,,,,
ValidateMatchmakingRuleSet,/#X-Amz-Target=GameLift.ValidateMatchmakingRuleSet,POST,,,,RuleSetBody,**This API works with the following fleet types...,matchmaking_rule_sets,validate_matchmaking_rule_set,exec,,,,,
